"pmcid";"pmid";"doi";"file_path_PMC";"pdf_file_path_PMC";"year";"type";"ISSN";"eISSN";"FoR_col";"FoR";"FoR_category";"approp";"bar";"bardot";"box";"dot";"flowno";"flowyes";"hist";"other";"pie";"text";"violin";"pdf_downloaded"
"PMC3622463";"23576894";"10.31887/DCNS.2013.15.1/dpark";"oa_package/f5/ca/PMC3622463.tar.gz";"oa_pdf/f5/ca/DialoguesClinNeurosci-15-109.PMC3622463.pdf";"2013";"research-article";"1294-8322";"1958-5969";"FoR_1";"1109";"1109 - Neurosciences";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"8";"0";TRUE
"PMC7429025";"32500810";"10.1161/JAHA.120.016406";"oa_package/bd/cb/PMC7429025.tar.gz";"oa_pdf/bd/cb/JAH3-9-e016406.PMC7429025.pdf";"2020";"research-article";NA;"2047-9980";"FoR_1";"1102";"1102 - Cardiorespiratory Medicine and Haematology";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"6";"0";TRUE
"PMC6299255";"30501974";"10.1016/S2213-8587(18)30306-1";"oa_package/6f/87/PMC6299255.tar.gz";NA;"2019";"research-article";"2213-8587";"2213-8595";"FoR_1";"1101";"1101 - Medical Biochemistry and Metabolomics";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"6";"0";TRUE
"PMC4345828";"25780335";"10.4137/CIN.S14028";"oa_package/b7/3c/PMC4345828.tar.gz";NA;"2015";"research-article";NA;"1176-9351";"FoR_1";"1112";"1112 - Oncology and Carcinogenesis";"0";"5";"0";"1";"0";"1";"0";"0";"0";"0";"5";"0";TRUE
"PMC3197496";"21943044";"10.1186/1745-6215-12-208";"oa_package/f0/6f/PMC3197496.tar.gz";NA;"2011";"research-article";NA;"1745-6215";"FoR_1";"1102";"1102 - Cardiorespiratory Medicine and Haematology";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"8";"0";TRUE
"PMC3139425";"20512133";"10.1038/nn.2570";"oa_package/34/d3/PMC3139425.tar.gz";NA;"2010";"research-article";"1097-6256";"1546-1726";"FoR_1";"1109";"1109 - Neurosciences";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"4";"0";TRUE
"PMC3309172";"22388040";"10.1038/ni.2238";"oa_package/72/7d/PMC3309172.tar.gz";NA;"2012";"research-article";"1529-2908";"1529-2916";"FoR_1";"1107";"1107 - Immunology";"0";"4";"0";"0";"0";"3";"0";"0";"0";"0";"16";"0";TRUE
"PMC5345654";"28155253";"10.1002/cam4.983";"oa_package/cc/25/PMC5345654.tar.gz";NA;"2017";"research-article";NA;"2045-7634";"FoR_2";"1112";"1112 - Oncology and Carcinogenesis";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"13";"0";TRUE
"PMC5915961";"29720943";"10.3389/fphys.2018.00355";"oa_package/a2/6a/PMC5915961.tar.gz";NA;"2018";"research-article";NA;"1664-042X";"FoR_2";"1116";"1116 - Medical Physiology";"0";"5";"0";"0";"0";"1";"0";"0";"0";"0";"8";"0";TRUE
"PMC6791352";"31616586";"10.7717/peerj.7755";"oa_package/a2/a3/PMC6791352.tar.gz";NA;"2019";"research-article";NA;"2167-8359";"FoR_1";"0600";"0600 - Biological Sciences";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"27";"0";TRUE
